,word,value
495,cherish,2
496,cherished,2
497,cherishes,2
498,cherishing,2
499,chic,2
500,chide,-3
501,chided,-3
502,chides,-3
503,chiding,-3
504,childish,-2
505,chilling,-1
506,choke,-2
507,choked,-2
508,chokes,-2
509,choking,-2
510,clarifies,2
511,clarity,2
512,clash,-2
513,classy,3
514,clean,2
515,cleaner,2
516,clear,1
517,cleared,1
518,clearly,1
519,clears,1
520,clever,2
521,clouded,-1
522,clueless,-2
523,cock,-5
524,cocksucker,-5
525,cocksuckers,-5
526,cocky,-2
527,coerced,-2
528,coercion,-2
529,collapse,-2
530,collapsed,-2
531,collapses,-2
532,collapsing,-2
533,collide,-1
534,collides,-1
535,colliding,-1
536,collision,-2
537,collisions,-2
538,colluding,-3
539,combat,-1
540,combats,-1
541,comedy,1
542,comfort,2
543,comfortable,2
544,comfortably,2
545,comforting,2
546,comforts,2
547,comic,1
548,commend,2
549,commended,2
550,commit,1
551,commitment,2
552,commits,1
553,committed,1
554,committing,1
555,compassion,2
556,compassionate,2
557,compelled,1
558,competencies,1
559,competent,2
560,competitive,2
561,complacent,-2
562,complain,-2
563,complained,-2
564,complaining,-2
565,complains,-2
566,complaint,-2
567,complaints,-2
568,complicating,-2
569,compliment,2
570,complimented,2
571,compliments,2
572,comprehensive,2
573,concerned,-2
574,conciliate,2
575,conciliated,2
576,conciliates,2
577,conciliating,2
578,condemn,-2
579,condemnation,-2
580,condemned,-2
581,condemns,-2
582,confidence,2
583,confident,2
584,confidently,2
585,conflict,-2
586,conflicting,-2
587,conflictive,-2
588,conflicts,-2
589,confuse,-2
590,confused,-2
591,confusing,-2
592,congrats,2
593,congratulate,2
594,congratulation,2
595,congratulations,2
596,consent,2
597,consents,2
598,consolable,2
599,conspiracy,-3
600,constipation,-2
601,constrained,-2
602,contagion,-2
603,contagions,-2
604,contagious,-1
605,contaminant,-2
606,contaminants,-2
607,contaminate,-2
608,contaminated,-2
609,contaminates,-2
610,contaminating,-2
611,contamination,-2
612,contaminations,-2
613,contempt,-2
614,contemptible,-2
615,contemptuous,-2
616,contemptuously,-2
617,contend,-1
618,contender,-1
619,contending,-1
620,contentious,-2
621,contestable,-2
622,controversial,-2
623,controversially,-2
624,controversies,-2
625,controversy,-2
626,convicted,-2
627,convince,1
628,convinced,1
629,convinces,1
630,convivial,2
631,cool,1
632,cool stuff,3
633,cornered,-2
634,corpse,-1
635,corrupt,-3
636,corrupted,-3
637,corrupting,-3
638,corruption,-3
639,corrupts,-3
640,costly,-2
641,courage,2
642,courageous,2
643,courageously,2
644,courageousness,2
645,courteous,2
646,courtesy,2
647,cover-up,-3
648,coward,-2
649,cowardly,-2
650,coziness,2
651,cramp,-1
652,crap,-3
653,crappy,-3
654,crash,-2
655,crazier,-2
656,craziest,-2
657,crazy,-2
658,creative,2
659,crestfallen,-2
660,cried,-2
661,cries,-2
662,crime,-3
663,crimes,-3
664,criminal,-3
665,criminals,-3
666,criminate,-3
667,criminated,-3
668,criminates,-3
669,crisis,-3
670,critic,-2
671,criticise,-2
672,criticised,-2
673,criticises,-2
674,criticising,-2
675,criticism,-2
676,criticize,-2
677,criticized,-2
678,criticizes,-2
679,criticizing,-2
680,critics,-2
681,critique,-2
682,crowding,-1
683,crude,-1
684,cruel,-3
685,cruelty,-3
686,crush,-1
687,crushed,-2
688,crushes,-1
689,crushing,-1
690,cry,-1
691,crying,-2
692,cunning,2
693,cunt,-5
694,curious,1
695,curse,-1
696,cut,-1
697,cutback,-2
698,cutbacks,-2
699,cute,2
700,cuts,-1
701,cutting,-1
702,cynic,-2
703,cynical,-2
704,cynicism,-2
705,damage,-3
706,damaged,-3
707,damages,-3
708,damaging,-3
709,damn,-2
710,damn cute,3
711,damn good,4
712,damned,-4
713,damnit,-4
714,danger,-2
715,dangerous,-2
716,dangerously,-2
717,daredevil,2
718,daring,2
719,darkest,-2
720,darkness,-1
721,dauntless,2
722,dazzling,3
723,dead,-3
724,deadening,-2
725,deadlock,-2
726,deadly,-3
727,deafening,-1
728,dear,2
729,dearly,3
730,death,-2
731,deaths,-2
732,debonair,2
733,debt,-2
734,deceit,-3
735,deceitful,-3
736,deceive,-3
737,deceived,-3
738,deceives,-3
739,deceiving,-3
740,deception,-3
741,deceptive,-3
742,decisive,1
743,dedicated,2
744,dedication,2
745,defeat,-2
746,defeated,-2
747,defect,-3
748,defective,-3
749,defects,-3
750,defender,2
751,defenders,2
752,defenseless,-2
753,defer,-1
754,deferring,-1
755,defiant,-1
756,deficient,-2
757,deficiency,-2
758,deficiencies,-2
759,deficit,-2
760,deformed,-2
761,deformities,-2
762,deformity,-2
763,defraud,-3
764,defrauds,-3
765,deft,2
766,defunct,-2
767,degrade,-2
768,degraded,-2
769,degrades,-2
770,dehumanize,-2
771,dehumanized,-2
772,dehumanizes,-2
773,dehumanizing,-2
774,deject,-2
775,dejected,-2
776,dejecting,-2
777,dejects,-2
778,delay,-1
779,delayed,-1
780,delectable,3
781,delicious,3
782,delight,3
783,delighted,3
784,delightful,3
785,delightfully,3
786,delighting,3
787,delights,3
788,demand,-1
789,demanded,-1
790,demanding,-1
791,demands,-1
792,demonstration,-1
793,demoralize,-2
794,demoralized,-2
795,demoralizes,-2
796,demoralizing,-2
797,denial,-2
798,denials,-2
